uid	dataid	image	mask
i0000	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-0.nii  	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-0.nii	
i0001	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-1.nii  	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-1.nii	
i0002	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-2.nii  	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-2.nii	
i0003	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-3.nii  	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-3.nii	
i0004	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-4.nii  	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-4.nii	
i0005	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-5.nii  	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-5.nii	
i0006	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-6.nii  	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-6.nii	
i0007	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-7.nii  	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-7.nii	
i0008	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-8.nii  	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-8.nii	
i0009	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-9.nii  	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-9.nii	
i0010	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-10.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-10.nii	
i0011	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-11.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-11.nii	
i0012	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-12.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-12.nii	
i0013	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-13.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-13.nii	
i0014	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-14.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-14.nii	
i0015	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-15.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-15.nii	
i0016	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-16.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-16.nii	
i0017	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-17.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-17.nii	
i0018	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-18.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-18.nii	
i0019	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-19.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-19.nii	
i0020	crc	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/segmentation-20.nii 	/rsrch1/ip/jacctor/LiTS/LiTS/TrainingBatch1/volume-20.nii	
